,date,open,close,high,low,volume,money
0,2005-01-04,1.99,1.81,1.99,1.81,12767324.0,23911428.0
1,2005-01-05,1.79,1.85,1.86,1.75,8716657.0,15739549.0
2,2005-01-06,1.83,1.8,1.84,1.79,5132628.0,9262177.0
3,2005-01-07,1.8,1.83,1.9,1.79,6678019.0,12325456.0
4,2005-01-10,1.82,1.87,1.88,1.82,4008683.0,7460572.0
5,2005-01-11,1.87,1.87,1.88,1.84,3434657.0,6382076.0
6,2005-01-12,1.87,1.85,1.87,1.83,2642890.0,4859774.0
7,2005-01-13,1.83,1.86,1.88,1.81,4934320.0,9107399.0
8,2005-01-14,1.86,1.85,1.93,1.84,7585481.0,14304643.0
9,2005-01-17,1.83,1.78,1.83,1.77,5019609.0,8988607.0
10,2005-01-18,1.75,1.83,1.84,1.75,2695306.0,4872015.0
11,2005-01-19,1.82,1.84,1.85,1.79,4083362.0,7471065.0
12,2005-01-20,1.85,1.87,1.89,1.82,6483536.0,12041557.0
13,2005-01-21,1.88,1.96,2.02,1.81,16256950.0,31399530.0
14,2005-01-24,2.0,1.96,2.02,1.96,11095827.0,21982379.0
15,2005-01-25,1.95,1.98,2.0,1.91,7851644.0,15316704.0
16,2005-01-26,1.97,1.93,1.98,1.92,5126333.0,9998698.0
17,2005-01-27,1.91,1.83,1.93,1.82,6179790.0,11536433.0
18,2005-01-28,1.83,1.8,1.84,1.79,3536122.0,6404650.0
19,2005-01-31,1.79,1.73,1.8,1.72,4426676.0,7788367.0
20,2005-02-01,1.71,1.71,1.76,1.7,3196831.0,5534842.0
21,2005-02-02,1.71,1.88,1.88,1.71,12720114.0,23388283.0
22,2005-02-03,1.89,1.91,1.99,1.85,22748189.0,43823343.0
23,2005-02-04,1.9,1.97,2.02,1.84,17490151.0,33970692.0
24,2005-02-16,2.0,1.95,2.0,1.94,8463660.0,16582360.0
25,2005-02-17,1.93,1.95,1.98,1.9,8318539.0,16207158.0
26,2005-02-18,1.95,1.9,1.97,1.89,5064496.0,9702732.0
27,2005-02-21,1.9,1.9,1.9,1.9,0.0,0.0
28,2005-02-22,1.95,1.99,2.02,1.92,16269463.0,32180386.0
29,2005-02-23,2.02,1.98,2.05,1.98,14486846.0,29131621.0
30,2005-02-24,1.98,2.11,2.16,1.95,24556644.0,50736039.0
31,2005-02-25,2.09,2.07,2.14,2.07,19499612.0,41007462.0
32,2005-02-28,2.07,2.04,2.08,2.03,7083956.0,14498467.0
33,2005-03-01,2.04,2.06,2.1,2.04,7677751.0,15906517.0
34,2005-03-02,2.06,1.98,2.1,1.97,7686007.0,15617733.0
35,2005-03-03,1.98,1.98,2.0,1.94,9311388.0,18309774.0
36,2005-03-04,1.98,1.98,2.0,1.95,4492506.0,8869025.0
37,2005-03-07,2.0,1.97,2.0,1.95,3373026.0,6659933.0
38,2005-03-08,1.97,2.04,2.04,1.97,7207290.0,14440792.0
39,2005-03-09,2.04,2.06,2.06,2.0,8269864.0,16797830.0
40,2005-03-10,2.08,1.98,2.09,1.97,8324393.0,16920528.0
41,2005-03-11,1.98,1.98,2.0,1.96,3784522.0,7487939.0
42,2005-03-14,1.98,1.91,1.98,1.87,7601777.0,14537157.0
43,2005-03-15,1.91,1.87,1.93,1.86,5290631.0,9981279.0
44,2005-03-16,1.89,1.89,1.92,1.86,3274263.0,6206148.0
45,2005-03-17,1.92,1.8,1.92,1.8,5619098.0,10286191.0
46,2005-03-18,1.82,1.81,1.82,1.77,3244081.0,5823265.0
47,2005-03-21,1.81,1.82,1.83,1.78,2225626.0,4014688.0
48,2005-03-22,1.81,1.73,1.82,1.73,3303946.0,5805710.0
49,2005-03-23,1.73,1.73,1.77,1.68,4067230.0,7033342.0
50,2005-03-24,1.71,1.76,1.77,1.71,2422837.0,4238008.0
51,2005-03-25,1.76,1.75,1.77,1.74,2212526.0,3874171.0
52,2005-03-28,1.75,1.74,1.75,1.7,1986299.0,3421079.0
53,2005-03-29,1.74,1.77,1.8,1.73,4861061.0,8605883.0
54,2005-03-30,1.77,1.69,1.77,1.67,4792976.0,8241263.0
55,2005-03-31,1.67,1.71,1.73,1.65,3461807.0,5870238.0
56,2005-04-01,1.67,1.76,1.79,1.65,6515558.0,11227185.0
57,2005-04-04,1.74,1.7,1.74,1.69,4522203.0,7777688.0
58,2005-04-05,1.68,1.66,1.71,1.65,2704775.0,4533204.0
59,2005-04-06,1.66,1.63,1.67,1.55,9932532.0,15961646.0
60,2005-04-07,1.63,1.68,1.77,1.6,10783541.0,18252363.0
61,2005-04-08,1.68,1.69,1.7,1.65,6277940.0,10523217.0
62,2005-04-11,1.69,1.71,1.74,1.67,7177575.0,12293726.0
63,2005-04-12,1.72,1.65,1.73,1.65,4518081.0,7660173.0
64,2005-04-13,1.67,1.74,1.78,1.67,9957505.0,17252765.0
65,2005-04-14,1.74,1.72,1.79,1.72,9560420.0,16798158.0
66,2005-04-15,1.71,1.65,1.71,1.63,4850156.0,8069901.0
67,2005-04-18,1.63,1.63,1.66,1.61,2489209.0,4050989.0
68,2005-04-19,1.63,1.65,1.66,1.62,2230117.0,3657578.0
69,2005-04-20,1.64,1.59,1.65,1.58,3803498.0,6090233.0
70,2005-04-21,1.6,1.55,1.6,1.54,4710302.0,7350643.0
71,2005-04-22,1.55,1.52,1.57,1.51,2858384.0,4393050.0
72,2005-04-25,1.52,1.49,1.55,1.46,4401091.0,6580444.0
73,2005-04-26,1.48,1.51,1.54,1.47,2923473.0,4409582.0
74,2005-04-27,1.53,1.49,1.54,1.48,2141157.0,3241694.0
75,2005-04-28,1.47,1.54,1.55,1.44,5160714.0,7799344.0
76,2005-04-29,1.53,1.5,1.53,1.49,4091279.0,6168484.0
77,2005-05-09,1.5,1.42,1.52,1.4,2902493.0,4243726.0
78,2005-05-10,1.4,1.43,1.46,1.37,3927127.0,5547031.0
79,2005-05-11,1.43,1.39,1.44,1.38,2749537.0,3857672.0
80,2005-05-12,1.39,1.4,1.42,1.37,4153103.0,5793362.0
81,2005-05-13,1.39,1.43,1.44,1.38,4399267.0,6221070.0
82,2005-05-16,1.43,1.41,1.43,1.38,2606847.0,3648838.0
83,2005-05-17,1.4,1.44,1.47,1.39,7042352.0,10174836.0
84,2005-05-18,1.44,1.46,1.46,1.43,3821714.0,5531323.0
85,2005-05-19,1.46,1.46,1.46,1.42,3345139.0,4847019.0
86,2005-05-20,1.46,1.43,1.46,1.42,2845472.0,4092478.0
87,2005-05-23,1.42,1.4,1.43,1.39,3114582.0,4390285.0
88,2005-05-24,1.39,1.45,1.47,1.38,4864019.0,6997004.0
89,2005-05-25,1.45,1.51,1.58,1.45,15229096.0,23003896.0
90,2005-05-26,1.5,1.49,1.51,1.47,4008123.0,5975374.0
91,2005-05-27,1.48,1.53,1.56,1.47,9570685.0,14606937.0
92,2005-05-30,1.54,1.56,1.58,1.53,8122140.0,12651519.0
93,2005-05-31,1.56,1.55,1.6,1.54,8870615.0,13912354.0
94,2005-06-01,1.55,1.5,1.56,1.5,4556355.0,6897609.0
95,2005-06-02,1.5,1.53,1.54,1.49,3946435.0,5962298.0
96,2005-06-03,1.52,1.48,1.53,1.48,3853219.0,5790529.0
97,2005-06-06,1.47,1.49,1.5,1.42,5262309.0,7711663.0
98,2005-06-07,1.48,1.52,1.56,1.48,7966110.0,12154579.0
99,2005-06-08,1.51,1.63,1.65,1.51,17531616.0,28065650.0
100,2005-06-09,1.62,1.67,1.73,1.6,17690659.0,29287212.0
101,2005-06-10,1.67,1.72,1.75,1.62,25375202.0,43064021.0
102,2005-06-13,1.7,1.76,1.79,1.65,20000263.0,34862624.0
103,2005-06-14,1.76,1.73,1.77,1.72,14577261.0,25389499.0
104,2005-06-15,1.71,1.67,1.71,1.65,12369633.0,20742491.0
105,2005-06-16,1.65,1.74,1.75,1.65,7940867.0,13438992.0
106,2005-06-17,1.74,1.73,1.74,1.7,5012416.0,8646010.0
107,2005-06-20,1.72,1.78,1.79,1.69,7027397.0,12361433.0
108,2005-06-21,1.72,1.73,1.79,1.72,5120523.0,8963834.0
109,2005-06-22,1.71,1.72,1.75,1.7,2667311.0,4579262.0
110,2005-06-23,1.72,1.68,1.74,1.67,2346275.0,3988719.0
111,2005-06-24,1.67,1.71,1.72,1.65,3033343.0,5115722.0
112,2005-06-27,1.71,1.88,1.88,1.7,24330119.0,44945760.0
113,2005-06-28,1.88,1.88,1.88,1.88,0.0,0.0
114,2005-06-29,1.83,1.81,1.87,1.79,7405843.0,13534939.0
115,2005-06-30,1.79,1.8,1.83,1.77,4381375.0,7881346.0
116,2005-07-01,1.79,1.78,1.8,1.75,3878958.0,6889963.0
117,2005-07-04,1.75,1.82,1.84,1.72,6074410.0,10814766.0
118,2005-07-05,1.83,1.8,1.83,1.77,2778635.0,4993443.0
119,2005-07-06,1.79,1.81,1.84,1.77,4307695.0,7808290.0
120,2005-07-07,1.81,1.78,1.81,1.72,2883630.0,5097920.0
121,2005-07-08,1.77,1.74,1.77,1.74,5161287.0,9056616.0
122,2005-07-11,1.75,1.69,1.79,1.67,2309283.0,3969857.0
123,2005-07-12,1.69,1.79,1.86,1.66,7424153.0,13325239.0
124,2005-07-13,1.78,1.82,1.86,1.78,4626786.0,8454139.0
125,2005-07-14,1.81,1.81,1.85,1.79,1667665.0,3020762.0
126,2005-07-15,1.8,1.8,1.83,1.79,1374933.0,2480171.0
127,2005-07-18,1.81,1.81,1.82,1.78,1619472.0,2919833.0
128,2005-07-19,1.79,1.81,1.85,1.79,855432.0,1549989.0
129,2005-07-20,1.8,1.85,1.86,1.8,2033353.0,3735002.0
130,2005-07-21,1.83,1.86,1.88,1.82,1819563.0,3377778.0
131,2005-07-22,1.87,1.88,1.93,1.86,4768256.0,9053713.0
132,2005-07-25,1.88,1.87,1.9,1.85,3953704.0,7410371.0
133,2005-07-26,1.87,1.85,1.88,1.82,4663451.0,8645390.0
134,2005-07-27,1.85,1.92,1.95,1.83,8588292.0,16353195.0
135,2005-07-28,1.92,1.91,1.93,1.89,4628939.0,8793731.0
136,2005-07-29,1.9,1.9,1.9,1.87,2824492.0,5345709.0
137,2005-08-01,1.9,1.93,1.93,1.9,3362017.0,6454285.0
138,2005-08-02,1.93,1.99,2.0,1.92,8759752.0,17320128.0
139,2005-08-03,1.99,1.94,2.05,1.93,9886411.0,19747022.0
140,2005-08-04,1.94,1.91,1.96,1.9,4077117.0,7856796.0
141,2005-08-05,1.91,1.99,2.0,1.9,6855287.0,13470182.0
142,2005-08-08,1.99,1.99,1.99,1.99,0.0,0.0
143,2005-08-09,1.99,1.99,1.99,1.99,0.0,0.0
144,2005-08-10,1.99,1.99,1.99,1.99,0.0,0.0
145,2005-08-11,2.16,2.05,2.16,2.0,16876878.0,34368235.0
146,2005-08-12,2.1,2.25,2.25,2.1,25540478.0,57304987.0
147,2005-08-15,2.48,2.44,2.48,2.36,86728673.0,210203641.0
148,2005-08-16,2.4,2.33,2.41,2.33,22136477.0,52327000.0
149,2005-08-17,2.31,2.57,2.57,2.3,33815208.0,82602757.0
150,2005-08-18,2.73,2.62,2.82,2.59,59142547.0,162584358.0
151,2005-08-19,2.73,2.8,2.86,2.62,37966686.0,105001141.0
