,Unnamed: 0,date,open,close,high,low,volume,money
0,0,2005-01-04,3.18,3.04,3.18,3.01,267351.0,815872.0
1,1,2005-01-05,3.01,3.08,3.09,2.98,271764.0,826836.0
2,2,2005-01-06,3.07,3.04,3.07,3.01,167747.0,509246.0
3,3,2005-01-07,3.04,3.09,3.09,2.99,300206.0,922168.0
4,4,2005-01-10,3.09,3.13,3.13,3.08,285242.0,885652.0
5,5,2005-01-11,3.12,3.13,3.15,3.1,309508.0,968326.0
6,6,2005-01-12,3.11,3.13,3.13,3.09,185353.0,575954.0
7,7,2005-01-13,3.13,3.19,3.22,3.12,962066.0,3065864.0
8,8,2005-01-14,3.16,3.11,3.21,3.11,319517.0,1009151.0
9,9,2005-01-17,3.09,3.07,3.09,3.01,348319.0,1063512.0
10,10,2005-01-18,3.05,3.12,3.13,3.04,311872.0,959389.0
11,11,2005-01-19,3.1,3.18,3.2,3.1,821622.0,2603640.0
12,12,2005-01-20,3.16,3.21,3.26,3.12,2190576.0,7004412.0
13,13,2005-01-21,3.2,3.3,3.33,3.14,2438435.0,7930627.0
14,14,2005-01-24,3.35,3.31,3.37,3.26,1872960.0,6196389.0
15,15,2005-01-25,3.31,3.29,3.31,3.21,1129458.0,3677434.0
16,16,2005-01-26,3.29,3.3,3.3,3.23,830028.0,2717452.0
17,17,2005-01-27,3.29,3.24,3.36,3.24,1712521.0,5673202.0
18,18,2005-01-28,3.23,3.15,3.23,3.13,1044243.0,3311959.0
19,19,2005-01-31,3.07,2.83,3.07,2.83,1922093.0,5564866.0
20,20,2005-02-01,2.81,2.74,2.85,2.73,1048920.0,2898864.0
21,21,2005-02-02,2.77,2.89,2.93,2.75,1147836.0,3254048.0
22,22,2005-02-03,2.89,2.79,2.91,2.79,964535.0,2731371.0
23,23,2005-02-04,2.78,2.85,2.87,2.73,936854.0,2639272.0
24,24,2005-02-16,2.91,2.88,2.93,2.81,520287.0,1495788.0
25,25,2005-02-17,2.88,2.9,2.9,2.84,454530.0,1302228.0
26,26,2005-02-18,2.9,2.91,2.91,2.85,497529.0,1436339.0
27,27,2005-02-21,2.91,2.99,3.02,2.9,1277213.0,3794971.0
28,28,2005-02-22,3.01,3.03,3.04,2.96,911648.0,2738537.0
29,29,2005-02-23,3.02,3.08,3.13,2.98,1741951.0,5316560.0
30,30,2005-02-24,3.04,3.02,3.07,3.0,1013375.0,3061806.0
31,31,2005-02-25,3.04,3.01,3.05,3.0,782648.0,2370161.0
32,32,2005-02-28,3.01,3.02,3.03,2.98,461872.0,1385481.0
33,33,2005-03-01,3.01,3.04,3.05,2.99,408363.0,1233416.0
34,34,2005-03-02,3.05,2.98,3.08,2.98,608224.0,1834203.0
35,35,2005-03-03,2.98,2.99,3.04,2.96,381222.0,1139458.0
36,36,2005-03-04,2.99,2.99,3.02,2.98,296124.0,889141.0
37,37,2005-03-07,2.98,2.99,3.01,2.95,278487.0,829804.0
38,38,2005-03-08,2.99,3.02,3.03,2.94,580851.0,1743035.0
39,39,2005-03-09,3.02,3.05,3.07,3.01,932094.0,2827173.0
40,40,2005-03-10,3.05,2.93,3.07,2.93,585564.0,1756809.0
41,41,2005-03-11,2.94,2.92,2.96,2.89,403635.0,1180933.0
42,42,2005-03-14,2.92,2.91,2.96,2.85,422144.0,1223615.0
43,43,2005-03-15,2.94,2.98,2.98,2.89,549773.0,1619159.0
44,44,2005-03-16,2.94,2.91,2.96,2.88,246811.0,719634.0
45,45,2005-03-17,2.91,2.93,2.98,2.83,480753.0,1399279.0
46,46,2005-03-18,2.93,2.88,2.96,2.85,289196.0,839646.0
47,47,2005-03-21,2.86,2.82,2.88,2.8,280812.0,794066.0
48,48,2005-03-22,2.84,2.77,2.84,2.76,464603.0,1290492.0
49,49,2005-03-23,2.75,2.77,2.82,2.73,415460.0,1155316.0
50,50,2005-03-24,2.75,2.77,2.8,2.73,381851.0,1053109.0
51,51,2005-03-25,2.77,2.76,2.8,2.74,431837.0,1193657.0
52,52,2005-03-28,2.76,2.76,2.76,2.76,0.0,0.0
53,53,2005-03-29,2.76,2.78,2.82,2.74,461996.0,1286424.0
54,54,2005-03-30,2.78,2.61,2.78,2.56,650609.0,1752137.0
55,55,2005-03-31,2.61,2.65,2.66,2.56,257485.0,671260.0
56,56,2005-04-01,2.65,2.71,2.75,2.59,421893.0,1129970.0
57,57,2005-04-04,2.67,2.72,2.82,2.59,551167.0,1516644.0
58,58,2005-04-05,2.77,2.82,2.96,2.77,2080794.0,5957111.0
59,59,2005-04-06,2.76,2.87,2.88,2.75,941203.0,2669356.0
60,60,2005-04-07,2.87,2.85,2.9,2.83,939658.0,2689469.0
61,61,2005-04-08,2.82,2.88,2.88,2.82,650756.0,1856158.0
62,62,2005-04-11,2.85,2.82,2.88,2.81,585341.0,1665309.0
63,63,2005-04-12,2.8,2.76,2.81,2.76,419776.0,1165702.0
