date,open,close,high,low,volume,money
2017-07-21,5.73,6.88,6.88,5.73,20951.0,143487.52
2017-07-24,7.57,7.57,7.57,7.57,10181.0,77032.41
2017-07-25,8.32,8.32,8.32,8.32,3756.0,31260.0
2017-07-26,9.15,9.15,9.15,9.15,10226.0,93599.55
2017-07-27,10.07,10.07,10.07,10.07,34983.0,352255.48
2017-07-28,11.08,11.08,11.08,11.08,54764.0,606548.8
2017-07-31,12.18,12.18,12.18,12.18,60817.0,740945.92
2017-08-01,13.4,13.4,13.4,13.4,127298.0,1706123.28
2017-08-02,14.74,14.74,14.74,14.74,658728.0,9712599.78
2017-08-03,14.74,14.74,14.74,14.74,0.0,0.0
2017-08-04,14.74,14.74,14.74,14.74,0.0,0.0
2017-08-07,14.74,14.46,15.57,14.13,21047855.0,311030927.73
2017-08-08,14.11,13.96,14.21,13.62,14881046.0,206616674.21
2017-08-09,13.72,13.79,14.02,13.68,8243644.0,114139689.96
2017-08-10,13.77,13.38,14.01,13.31,8065843.0,109956744.13
2017-08-11,13.27,13.26,13.58,13.11,6135746.0,81657736.59
2017-08-14,13.24,13.39,13.42,13.11,4821347.0,64119392.19
2017-08-15,13.37,14.11,14.32,13.36,11310634.0,156000592.65
2017-08-16,13.98,14.33,14.95,13.95,13003453.0,188866828.76
2017-08-17,14.07,14.0,14.54,13.88,9317602.0,132249723.58
2017-08-18,14.27,15.4,15.4,14.12,14611731.0,219598914.99
2017-08-21,15.97,16.94,16.94,15.86,23714687.0,392725104.76
2017-08-22,16.54,16.05,16.82,15.89,18030526.0,293945543.47
2017-08-23,16.15,17.66,17.66,15.76,17860620.0,301493724.21
2017-08-24,18.1,17.22,19.38,16.78,24543511.0,449272129.31
2017-08-25,16.85,18.27,18.63,16.78,19461535.0,345113063.87
2017-08-28,18.25,20.1,20.1,17.76,20977079.0,397460246.37
2017-08-29,19.84,19.38,21.99,19.13,22391044.0,457559080.76
2017-08-30,18.96,18.56,19.7,18.11,15034268.0,282200819.17
2017-08-31,18.48,19.07,19.44,18.48,11588862.0,220153726.47
2017-09-01,18.97,18.43,19.46,18.25,9702936.0,181322218.03
2017-09-04,18.1,17.26,18.1,17.05,9108159.0,159346983.29
2017-09-05,17.26,17.65,17.83,17.26,5438944.0,95829145.4
2017-09-06,17.4,17.47,17.64,17.04,4969727.0,85784997.46
2017-09-07,17.58,17.78,18.3,17.5,6935105.0,124586311.2
2017-09-08,17.51,17.57,17.68,17.1,4788446.0,83411119.72
2017-09-11,17.72,18.87,18.9,17.63,9965233.0,185064094.16
2017-09-12,18.64,18.55,18.77,18.16,7623933.0,140503210.55
2017-09-13,18.4,18.87,19.06,18.23,6484455.0,120948997.33
2017-09-14,18.75,18.5,18.98,18.25,5069938.0,94231163.19
2017-09-15,18.35,17.47,18.5,17.35,4889916.0,87604086.99
2017-09-18,17.04,17.0,17.29,16.79,3600242.0,61242973.33
2017-09-19,17.01,17.2,17.24,17.01,2094490.0,35911998.03
2017-09-20,17.06,17.56,17.72,16.95,3085936.0,53695684.73
